route_id,service_id,trip_id,wheelchair_accessible,bikes_allowed,trip_headsign
12640,niedziele i święta,1720609,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720610,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720611,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720612,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720619,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720599,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720600,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720601,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), R - Kurs do przystanku Rosłońkiego Pętla"
12640,niedziele i święta,1720559,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720558,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720571,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720572,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720549,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720550,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720551,0,0,"S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720526,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720527,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), S - Kurs do Szpitala Wojew&#243;dzkiego"
12640,niedziele i święta,1720485,0,0,"Z - Zjazd do zajezdni"
12640,niedziele i święta,1720476,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni"
12640,niedziele i święta,1720639,0,0,"R - Kurs do przystanku Rosłońkiego Pętla, X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok"
12640,niedziele i święta,1720640,0,0,"R - Kurs do przystanku Rosłońkiego Pętla"
12656,robocze,1722285,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12656,robocze,1722286,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej, Z - Zjazd do zajezdni"
12650,robocze,1721652,0,0,"B - Kurs do przystanku Batorego Start"
12650,robocze,1721645,0,0,""
12650,robocze,1721646,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12650,robocze,1721648,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12650,robocze,1721649,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12650,robocze,1721655,0,0,""
12650,robocze,1721638,0,0,""
12650,robocze,1721642,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12650,robocze,1721643,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12650,robocze,1721644,0,0,"W - Nie kursuje w dni wolne od nauki szkolnej"
12654,robocze,1722141,0,0,""
12654,robocze,1722149,0,0,"M - Kurs do przystanku przy ul Młynarskiej"
12654,robocze,1722160,0,0,"T - Kurs do Młynarskiej przez ulicę Topolową"
12654,robocze,1722161,0,0,"T - Kurs do Młynarskiej przez ulicę Topolową"
12654,robocze,1722144,0,0,""
12654,robocze,1722152,0,0,""
12654,robocze,1722153,0,0,""
12654,robocze,1722146,0,0,""
12658,niedziele i święta,1722398,0,0,""
12658,niedziele i święta,1722399,0,0,""
12658,niedziele i święta,1722400,0,0,""
12658,niedziele i święta,1722392,0,0,"A - Kurs do przystanku Wilczańska"
12658,niedziele i święta,1722393,0,0,"A - Kurs do przystanku Wilczańska"
12658,niedziele i święta,1722394,0,0,"A - Kurs do przystanku Wilczańska"
12658,niedziele i święta,1722362,0,0,""
12658,niedziele i święta,1722366,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12658,niedziele i święta,1722335,0,0,""
12658,niedziele i święta,1722340,0,0,"X - Nie kursuje w Boże Narodzenie, Wielkanoc i Nowy Rok, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12658,robocze,1722648,0,0,"P - Kurs Obozowa POLNA SA"
12658,robocze,1722369,0,0,""
12658,robocze,1722404,0,0,"P - Kurs Obozowa POLNA SA"
12658,robocze,1722370,0,0,""
12658,robocze,1722377,0,0,""
12658,robocze,1722372,0,0,""
12658,robocze,1722363,0,0,""
12658,robocze,1722364,0,0,""
12658,robocze,1722365,0,0,""
12658,robocze,1722371,0,0,""
12658,robocze,1722376,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12658,robocze,1722338,0,0,""
12658,robocze,1722339,0,0,""
12658,robocze,1722325,0,0,""
12658,robocze,1722651,0,0,"N - Kurs przez Nehrybkę Wieś - w okresie zimy (15.12 do 29.02) przez POLNA S.A."
12658,robocze,1722341,0,0,""
12658,robocze,1722328,0,0,""
12658,robocze,1722652,0,0,"N - Kurs przez Nehrybkę Wieś - w okresie zimy (15.12 do 29.02) przez POLNA S.A."
12658,robocze,1722653,0,0,"N - Kurs przez Nehrybkę Wieś - w okresie zimy (15.12 do 29.02) przez POLNA S.A."
12658,robocze,1722326,0,0,""
12658,robocze,1722327,0,0,""
12658,robocze,1722329,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12658,soboty,1722373,0,0,""
12658,soboty,1722346,0,0,""
12658,soboty,1722347,0,0,""
12658,soboty,1722367,0,0,""
12658,soboty,1722368,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12658,soboty,1722330,0,0,""
12658,soboty,1722336,0,0,""
12658,soboty,1722342,0,0,""
12658,soboty,1722343,0,0,""
12658,soboty,1722344,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,robocze,1722596,0,0,"P - Kurs przez Polna SA"
12661,robocze,1722571,0,0,""
12661,robocze,1722572,0,0,""
12661,robocze,1722637,0,0,"B - Kurs do Bakończyc ulicami: Słowackiego, Bakończycka"
12661,robocze,1722542,0,0,"L - Zjazd do zajezdni"
12661,robocze,1722593,0,0,"P - Kurs przez Polna SA"
12661,robocze,1722543,0,0,"L - Zjazd do zajezdni"
12661,robocze,1722573,0,0,""
12661,robocze,1722575,0,0,""
12661,robocze,1722555,0,0,""
12661,robocze,1722539,0,0,"L - Zjazd do zajezdni"
12661,robocze,1722576,0,0,"P - Kurs przez Polna SA"
12661,robocze,1722538,0,0,"L - Zjazd do zajezdni"
12661,robocze,1722556,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,robocze,1722595,0,0,"P - Kurs przez Polna SA, Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,robocze,1722517,0,0,""
12661,robocze,1722634,0,0,"A - KURS DO UL. WILCZAŃSKIEJ"
12661,robocze,1722610,0,0,""
12661,robocze,1722608,0,0,""
12661,robocze,1722611,0,0,""
12661,robocze,1722529,0,0,""
12661,robocze,1722609,0,0,""
12661,robocze,1722520,0,0,""
12661,robocze,1722612,0,0,""
12661,robocze,1722518,0,0,""
12661,robocze,1722613,0,0,""
12661,robocze,1722614,0,0,""
12661,robocze,1722615,0,0,""
12661,robocze,1722519,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,robocze,1722616,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,robocze,1722514,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni przez ul. Boh. Getta"
12661,robocze,1722509,0,0,""
12661,soboty,1722560,0,0,""
12661,soboty,1722513,0,0,"J - Kurs do ul Jagiellońskiej"
12661,soboty,1722561,0,0,""
12661,soboty,1722540,0,0,"L - Zjazd do zajezdni"
12661,soboty,1722592,0,0,"P - Kurs przez Polna SA"
12661,soboty,1722541,0,0,"L - Zjazd do zajezdni"
12661,soboty,1722574,0,0,""
12661,soboty,1722585,0,0,""
12661,soboty,1722586,0,0,""
12661,soboty,1722525,0,0,""
12661,soboty,1722500,0,0,""
12661,soboty,1722633,0,0,"A - KURS DO UL. WILCZAŃSKIEJ"
12661,soboty,1722521,0,0,""
12661,soboty,1722587,0,0,""
12661,soboty,1722522,0,0,""
12661,soboty,1722515,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra), Z - Zjazd do zajezdni przez ul. Boh. Getta"
12661,soboty,1722498,0,0,""
12661,soboty,1722640,0,0,"K - Kurs do przystanku Wyb. Wilsona"
12661,soboty,1722642,0,0,"Y - Nie kursuje 24 XII (Wigilia) i 31 XII (Sylwestra)"
12661,niedziele i święta,1722544,0,0,"L - Zjazd do zajezdni"
12661,niedziele i święta,1722558,0,0,""
12661,niedziele i święta,1722557,0,0,""
